dh_a,dh_alpha,dh_d,dh_theta
0.0,1.5707963267948966,103.91,-1.5707963267948966
205.73,0.0,0.0,1.8157749899217608
200.0,0.0,0.0,1.3258176636680323
0.0,-1.5707963267948966,0.0,-1.5707963267948966
0.0,0.0,174.15,0.0
